,name,description,price,product_details,variatal,size,country,closure,target
44,lagavulin,8 year old single malt scotch whisky 700ml,89.95,"lagavulin 8 year old is big and smoky, with sweet spice that becomes apparent with a drop of water. inspired by the visit of alfred barnard to the distillery in the 1880's when he tried an 'exceptionally fine' eight-year-old from the distillery, this is a fitting tribute.",single malt,700.0,scotland,cork,0
45,starward,nova single malt australian whisky 700ml,89.95,"starward nova is uniquely australian, crafted exclusively with local wine barrels for maturation resulting in a whisky with balanced aromas of raisins, bananas and a touch of balsamic lead to clove, toffee and nougat. the palate is filled with red berries, hints of cinnamon and a variety of savoury and spice driven notes. a long, dry and tannic finish guides a strong linear reach through the palate, balancing a generous roundness and oiliness of the spirit.",single malt,700.0,starward,screw cap,0
46,the glenlivet,18 year old single malt scotch whisky 700ml,152.99,"glenlivet is a sherry-finished speyside malt whisky. honey in colour, spiced on the nose and a smoky palate make this a gorgeously luxurious scotch.",single malt,700.0,scotland,unknown,1
47,edradour,10 year old single malt scotch whisky 700ml,73.0,"this scotch whisky is handmade with rich, fruit cake flavours and a sweetness that emerges from the combination of sherry wood and the small stills of our old farm distillery. despite being such a small distillery, edradour produces more whiskies than most other distilleries. owner since 2002, master of the quaich andrew symington has expertly used the spirit from our small stills, matured in the highest quality oak wood, to create a stunning and diverse range of single malts.",single malt,700.0,scotland,cork,0
48,the dalmore,cigar malt reserve single malt scotch whisky 700ml,140.0,"dalmore, located on the northern shores of the firth of cromarty, deep in the scottish highlands has been making single malt whiskies since 1839 and the bottles still bear the stag crest of the clan mackenzie. their cigar malt reserve is a wonderful blend of three different oak types of 10-15 year old whiskies. white american oak, 30 year old matusalem olorosso sherry casks and premier cru cabernet sauvignon wine barriques. the final blend has an enveloping aroma and flavour of the finest hand-made cigars; rich and smoky and extremely long lasting.",single malt,700.0,scotland,cork,1
49,the shinobu,pure malt mizunara oak whisky,114.99,"niigata is known in japan for its “three white” treasures, i.e. snow, rice and sake, and a naturally blessed environment for pure water source. shinobu means “forbearance” in japanese as it is how the distiller’s spirit should be when making quality whisky. shinobu whisky is hand crafted by the creative distiller, mr. usami, by carefully selecting whisky from around the world which are first reserved in ex-sherry and ex-bourbon casks and then finishing them with precious japanese mizunara oak in japan. the result is a unique fusion of flavours and dynamic explosion in palate yet so smooth and easy to drink. all natural with no colouring.
tasting notes
colour: old gold
nose: vanilla, plums, mint
palate: slightly sweet, spices, vanilla, citrus, smoky oak
finish: medium, sweet, woody, minty, slight bitterness",blended,700.0,japan,unknown,1
50,strathmill,25 year old scotch whisky 700ml,398.95,"strathmill 25 year old is a limited edition, natural cask strength single malt. it's light and cheerful as a summer morning. an enigmatic and tantalising nose, well balanced between fresh and over-ripe, leads after a sweet start to an elegant dryness on the complex palate, then a long finish with a lovely aromatic dryness. add water if you wish, but with care.",single malt,700.0,scotland,cork,1
51,amrut,fusion indian whisky 700ml,95.99,"while india may not be the first country to mind when great world whisky is mentioned, the fusion single malt is about to change all that. considered by jim murray to be the 3rd best whisky in the world as part of his 2010 whisky bible, the fusion is a phenomenal amalgam of flavours, aromas and texture the envy of most, even in scotland. on the nose this spectacular whisky offers up notes of heavy oak, barley sugar and some subtle smoke characters that play ever so well with amazingly complex flavours like custard cream, toffee and dried fruits. while the whisky threatens to be completely overpowering, the balance on the finish is nothing short of ground breaking. there is simply no better way to extend your whisky horizons than with a bottle of amrut fusion.",single malt,700.0,scotland,cork,0
52,clynelish,14 year old single malt scotch whisky 700ml,90.0,"nestled away in the far north of scotland's highland region is the distillery of clynelish. situated at brora on the stormy north east coast, this 14 year old single malt has been matured in specially selected oak casks and then bottled at the full 46%. displaying a waxy nose with a hint of sugar and florals, the whisky arrives on the palate with power and flavours of signature spice and maritime saltiness.",single malt,700.0,scotland,cork,0
53,the balvenie,12 year old doublewood single malt scotch whisky 700ml,94.95,"a classic, iconic release, launched in 1993. aged for 12 years in refill american oak casks before finishing in first fill european oak oloroso sherry butts. a nose of honey, subtle spice & nuttiness. a sweet palate of oaky vanilla, subtle baking spice, nuts & dried fruit.",single malt,700.0,scotland,unknown,0
